מספר הסדנה,שם הסדנה,שם המנחה,תקציר,קהל יעד,אופי הסדנה
32,משחק ומשחקיות בארגז החול ובקבוצה טיפולי ת,"עופר קסטל, פסיכולוג קליני מדריך, פסיכולוג ראשי בתחנה לטיפול פסיכולוגי, עמק הירדן. מרצה בבית הספר לפסיכותרפיה פסיכואנליטית, הפקולטה ללימודי הרווחה, אוניברסיטת חיפה, קליניקה פרטית. ד""ר דניאלה פלד, פסיכולוגית חינוכית מדריכה, פסיכולוגית מחוזית – מחוז חיפה, קליניקה פרטית .","השנה האחרונה הייתה מטלטלת עבור כולנו. הסדנה תאפשר גם עיבוד והתבוננות על השנה החולפת. נלמד ונתנסה במשחק ומשחקיות מפרספקטיבות שונות וכיצד ניתן להכניס משחקיות לתוך ההוויה שלנו, ומה קורה במצבים של היעדר משחקיות (playfulness). הסדנה היא חווייתית ותאפשר התנסות במספר תחומים: משחק בארגז החול ברוח יונגיאנית. משחקיות כבסיס לבריאות הנפשית על פי וויניקוט, וכגורם מרפא מרכזי בפסיכותרפיה. הקבוצה הטיפולית כמקום בו מתרחשים יחסי הכלה ונוצרת חשיבה חדשה על פי ביון. בסדנה זאת נשתמש בשלושת האלמנטים הנ""ל כדי להתנסות וללמוד על פסיכותרפיה . בארגז החול, נשתמש כמרחב לתרפיה המאחדת את האגו עם הארכיטיפים מהם הוא נוצר(יונג). נשתמש במונחים של וויניקוט למרחב של פסיכותרפיה כצורה משוכללת של משחקיות, ונשהה בתוך קבוצה טיפולית המאפשרת חוויה של הכלה ולמידה מתוך ההתנסות על פי ביון. המשתתפים מוזמנים להביא אובייקטים למשחק בארגז החול. הסדנה מיועדת לכל מי שרוצה להתנסות, לחוות ולתרגל משחק ומשחקיות .",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
33,"מדברים מיניות- מזווית אישית, מקצועית וטיפולי ת","לי ראובני, מדריכה ומטפלת מינית מוסמכת, מנהלת יחידת מנעד לטיפול מיני במ.א. מנשה.","בסדנה קבוצתית ואינטימית נעבוד על היכולת שלנו לגעת במיניות שלנו, בערכים, מסרים וסכמות חשיבה שהוטבעו בנו ומנהלים את היכולת שלנו לכונן מיניות מיטיבה כמו גם לשוחח על כך באופן חופשי, בהיר ומדויק. הסדנה מבקשת לאתגר את המשתתפים להיות במגע עם נושאים מושתקים, לא מדוברים ומאתגרים הקשורים בעבר, הווה ועתיד של המיניות האישית והזוגית. את הכלים אותם ירכשו המשתתפים בסדנה הם יכולים להטמיע ולהעביר הלאה לחדר הטיפולים כדי לאפשר שיח פתוח ונעים אודות נושאים אפופי טאבו ומסתורין.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
34,המשחק הוא הדבר גם בימים של טראומה,"אבי שרוף, פסיכולוג קליני בכיר, אוניברסיטת תל-אביב, מרכז התכנית לפסיכותרפיה בילדים ונוער באוניברסיטת תל-אביב בביה""ס לעו""ס.","המשחק מהווה כלי מרכזי בעבודה הטיפולית עם ילדים, אמצעי של הבעה, תקשורת של ביטוי עולמו הפנימי של הילד ודרך לאבריאקציה של רגשות ואירועים טראומטיים. עם זאת, דרכי העבודה עם המשחק בחדר הטיפולים מגוונות ומשתנות מתוך עמדות תיאורטיות שונות. נעסוק בסדנה זו, שהינה תיאורטית ומשלבת וינייטות טיפוליות של המשתתפים, בדרכים השונות בהבנת המשחק הטיפולי. מגישותיהן הפרשניות של אנה פרויד ומלאני קליין, דרך PLAY THERAPY של וירג'יניה אקסליין, עמדתו של ויניקוט, המשחק הדיירקטיבי של סולומון, עמדתו האינטרסובייקטיבית של פרנקל וגישתו של פרו על פי ביון. המשתתפים מתבקשים להביא עמם חומר מפגישות טיפוליות משלבות משחק.",כולם.ן,עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
35,"חדש! ""אם לא נותנים לך להכנס דרך הדלת, סימן שאתה צריך להכנס דרך החלון""- טיפול קוגניטיבי התנהגותי וטיפול מבוסס קבלה ומחויבות לכעס ותוקפנות בילדים ונוער","ד""ר שמרית תלרז כהן, פסיכולוגית קלינית מדריכה, חברה מומחית- מדריכה באיט''ה, מורשית להיפנוט. חברת סגל בכיר בתוכנית לתואר שני בחינוך, מיינדפולנס ולמידה חברתית רגשית ובתוכנית לטיפול באומנות, ומנהלת שירותי הייעוץ הפסיכולוגי במכללה האקדמית בית ברל. בעבר, פסיכולוגית אחראית ביחידה לוויסות התנהגותי לילדים ונוער במרכז לבריאות הנפש גהה.","בסדנה נערוך היכרות עם שתי גישות יעילות ומבוססות מחקרית לטיפול בילדים ונוער המתמודדים עם קשיים בוויסות כעס ותוקפנות: הטיפול הקוגניטיבי- התנהגותי, וטיפול מבוסס קבלה ומחויבות. בספרות המקצועית נהוג להפריד בין תחושת כעס, שהוא הממד הרגשי המוביל להתנהגות תוקפנית, לבין ההתנהגות עצמה. כעס מוגדר כמצב רגשי שלילי הכולל חווית עוררות גופנית מוגברת ומחשבות על פגיעה והאשמה. ילדים ובני נוער, המתקשים בוויסות כעס ותוקפנות, עלולים להיקלע למעגל קסמים שלילי ולסבול מדחייה חברתית ורמה מוגברת של דיכאון ואובדנות. בסדנה נלמד לעומקו את מודל הטיפול הקוגניטיבי-התנהגותי בכעס ותוקפנות. המודל מתייחס לקשיים בוויסות כעס ותוקפנות, כנובעים משלושה מקורות עיקריים: למידה חברתית, קשיים בוויסות הרגשי וליקויים בעיבוד המידע החברתי. לאחר מכן, נלמד את טכניקות הטיפול אשר מטרתן לשפר מיומנויות בשלושה תחומים עיקריים: וויסות רגשות, פתרון בעיות ומיומנויות חברתיות. בהמשך נכיר את מודל הטיפול המבוסס על קבלה ומחויבות (ACT). מודל טיפולי זה מתייחס לתהליכים כמו הימנעות חוויתית והדבקה קוגניטיבית כגורמים מרכזיים לקשיי שליטה בכעס ותוקפנות. המודל מתמקד במושג הגמישות הפסיכולוגית ובהרחבתו על ידי התמקדות במספר תהליכי ליבה, וביניהם: קבלה, חמלה עצמית, הבהרת ערכים ומחויבות לפעולה. נדגים באופן חוויתי, מהנה ומשחקי את המאפיינים השונים ונתרגל את הטכניקות האפשריות בכל אחד מן המודלים.",כולם.ן,עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
36,חדש! לשחק CBT,"רועי ליס, פסיכולוג חינוכי מומחה, מומחה ומדריך בהסמכה בטיפול קוגניטיבי – התנהגותי.","מטפלים בילדים ובני נוער פוגשים בכל שעה שאלות רבות הקשורות לשילוב נכון ומקצועי של משחק בטיפול: מי בוחר את המשחק? איזה משחק בוחרים ובאיזה שלב בפגישה מתחילים לשחק? האם מותר לי גם לנצח, ואם כן, איך ומתי? כיצד ניתן להשתמש במשחקים מוכרים ונפוצים כגון טאקי, ארבע בשורה וחתחתול באופן מהנה ומקדם את הטיפול ? במסגרת הסדנה ""לשחק CBT"", נכיר את היתרונות הטמונים בטיפול באמצעות משחקים, נלמד את עקרונות הטיפול הקוגניטיבי – התנהגותי ואת הפרוטוקולים המקובלים לטיפול במגוון רחב של סוגיות: ויסות רגשי ושליטה בכעסים, פיתוח מיומנויות חברתיות באופן פרטני וקבוצתי, טיפול במשחק בהפרעת קשב וריכוז באמצעות שיפור תפקודים ניהוליים, טיקים והפרעת טורט, הפרעות חרדה שונות והפרעה כפייתית – טורדנית. נכיר ונשחק בהמון משחקים ונלמד כיצד נכון לעשות שימוש במשחקים מוכרים, כאלו שיש בכל חדר טיפול בכל בית ספר, ככלי טיפול יעילים ומהנים בכל אחת מן ההתמודדויות הללו.","טרום מתמחים.ות/מתמחים.ות בשנה ראשונה ושניה, מתמחים.ות משנה שלישית ואילך, מומחים.ות",עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
37,"""צבעי מסע - המסע אל העצמי ואל האחר ""","יזהר שער, פסיכולוג חינוכי רפואי וקליני מדריך, מורשה לעיסוק בהיפנוזה, מנהל שפ""ח אשכול. רכז מניעת אובדנות ואלימות מחוז דרום, מרצה במסלול לפסיכולוגיה חינוכית באוניברסיטת בן גוריון, מחבר הספר ""בחזית הנפש"" על התמודדות וצמיחה במצבי טראומה מתמשכת . ד""ר אילן וירצברגר, פסיכולוג חינוכי מדריך, פסיכולוג מחוזי – מחוז דרום, קליניקה פרטית, מרצה במסלול לפסיכולוגיה חינוכית באוניברסיטת בן גוריון חוקר בתחום הוויסות הרגשי.","בסדנה נפגוש ונחקור את המקום המשפחתי השורשי ממנו באנו בהקשר למפגש שלנו עם המערכות והאנשים אותם אנו פוגשים. נתבונן על המפגש שלנו עם דמויות סמכות, עם התוקפנות, והיצריות בחיינו לצד הדיכאון והתקווה, הטראומה והצמיחה . יינתן מקום לעבוד מרחבי העצמי השונים, בהקשר לחוויות אותם חווינו בשנה המורכבת והמאתגרת. בסדנה יהיו התייחסויות מתאוריות של יחסי אובייקט ומהגישה האינטרסובייקטיבית, והאקזיסטנציאלית, בהתבוננות על חווית הגדילה בתוך המשפחה (ויניקוט, קוהוט, ביון, אוגדן, מיטשל, ארון ועוד). הסדנה היא חווייתית דינמית, וננוע בה בין העולם הפנימי, למרחב הקבוצתי, בו האחר הוא גורם מהדהד ומעצים לחלקים החבויים אצל כל אחד מאיתנו. במהלך הסדנה יעשה שימוש בכלים אקספרסיבים מתחום התנועה, הליכה מדיטטיבית, מוסיקה, פוטו-תרפיה וחומרי יציר ה","טרום מתמחים.ות/מתמחים.ות בשנה ראשונה ושניה, מתמחים.ות משנה שלישית ואילך, מומחים.ות",דינמי (דגש על תהליך דינמי אישי וקבוצתי)
38,צוהר לתיאוריה היונגיאנית וזיקתה לפסיכולוגיה החינוכית,"משה אלון, פסיכולוג חינוכי-מדריך, אנאליטיקאי יונגיאני, מטפל משפחתי מוסמך, מנחה קבוצות ויועץ ארגוני. לשעבר מנהל שפ""ח ת""א-יפו, אור-יהודה וגבעת שמואל, כיום מדריך בשפ""ח לוד. בעל קליניקה פרטית, מלמד ומדריך בתחום הפסיכולוגיה החינוכית והיונגיאנית. במשך כחצי שנה לאחר המלחמה שימש כיד ימינה של מנהלת שפ""ח שדרות בניהול קבוצת פסיכולוגים שתיגברו את השפ""ח ברחבי הארץ. ד""ר לידר שני, קיבלה את ה MA/PhD בפסיכולוגיית המעמקים מאוניברסיטת פסיפיקה, קליפורניה. היא אנאליטיקאית יונגיאנית לאחר שעברה הכשרה בציריך, שוויץ, ופסיכותרפיסטית יונגיאנית מאוניברסיטת בר-אילן, מפרסמת מרצה מלמדת ומדריכה בארץ ובעולם. תחום המומחיות שלה הוא הגיל הרך, ועבודה דיאדית. בעלת קליניקה פרטית, ומאז אוקטובר 2023 ועד היום עובדת בשפ״ח תגבור עם ילדי הגיל הרך והוריהם באחד מקיבוצי העוטף.","יונג, שהיה בתחילת דרכו המקצועית תלמידו של פרויד, הכניס לשיח האנליטי את המונח ארכיטיפ, ובהתאמה את ההרחבה של מונח התת-מודע הפרוידיאני, לעבר המונח לא-מודע קולקטיבי, שהוא סימן ההיכר של הפסיכולוגיה היונגיאנית. בשונה מתורתו של פרויד שטען לקיומו של תת-מודע כמחסן ההדחקות ההכחשות ומקור החולי הנפשי, התיאוריה האנליטית של יונג מכירה אמנם בקיומו של לא מודע אישי, אך עם זאת מזהה גם לא-מודע קולקטיבי המשותף לכל בני האדם, ומהווה מאגר המורשת האנושית האינסופי ששורשיה בבריאות נפשית. בעוד הפרספקטיבה הפרוידיאנית ממקמת את האדם הפרטי במרכז ומתארת את התפתחותו על הציר המיני, הפסיכולוגיה האנליטית מרחיבה את נקודת המבט לעבר הרוחניות ובכך נוגעת גם בתחומי האומנות, הדת, והחברה. האנליזה היונגיאנית מחברת את האדם לשורשיו הארכאיים, תוך שהיא עושה שימוש סימבולי בתוצרי הנפש המופיעים בחלומות, באמנות, באגדות ובמיתוסים . ההרחבה של הפרספקטיבה האישית-אינדיבידואלית לעבר נקודת מבט רחבה ואוניברסלית, מחברת את האדם אל מקורותיו הארכאיים ולכן טומנת בחובה פוטנציאל הבראה. בסדנה נלמד את עיקרי התיאוריה היונגיאנית ומושגיה המרכזיים—ארכיטיפ, לא-מודע קולקטיבי, צל, סלף, ועוד—באופן המשלב למידה לצד חוויה והדגמה באמצעות ניתוח מקרים וחלומות המשתתפים. באמצעות הדגמת הפרשנות האנליטית לתיאורי מקרה, נרחיב את היריעה לעבר מושגי ההעברה וההעברה הנגדית והמטפל הפצוע, באופן שידגים את הפרשנות היונגיאנית ויכולת הריפוי שבה. לצד אלו, תכלול הסדנה גם אספקטים בתיאוריה היונגיאנית שהם בעלי זיקה ישירה לתחום הפסיכולוגיה החינוכית כמו למשל: התפתחות פסיכולוגית של ילדים, שעיר לעזאזל בכיתה ועוד. הרחבה זו של הפסיכולוגיה היונגיאנית לעבר התפתחות מבנים נפשיים בילדות, היא מנחתו של אריך נוימן שהגיע לארץ כציוני בשנת 1934, והיה תלמידו המוכשר ביותר של יונג ויורשו המיועד, אילולא נפטר בטרם עת. טיפול באומנות, ומשחק בארגז החול, הנפוצים כיום בטיפול בכלל ובטיפול בילדים בפרט, הן גישות טיפוליות שצמחו מתוך התיאוריה היונגיאנית. משאלת המנחים היא שהסדנה תהווה עבור המשתתפים מוקד לעניין ומשיכה להמשך למידה והעמקה בגישה האנליטית יונגיאנית. הסדנה תתייחס לאירועי המלחמה והשפעתה על המשתתפים, בהתייחס לתכנים שילמדו וגם תכנים ודילמות שיעלו המשתתפים, כתוצאה מהלמידה.","מתמחים.ות משנה שלישית ואילך, מומחים.ות, בהסמכה להדרכה, מדריכים.ות, מנהלים.ות, בעלי.ות תפקידי מטה ובכירים.ות",עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
39,על סף מומחיות,"טל בוקר, פסיכולוגית חינוכית מדריכה, פסיכולוגית מחוזית מחוז צפון, מרצה בחוג לתואר שני בפסיכולוגיה חינוכית במכללת עמק יזרעאל, קליניקה פרטית. ד""ר שרית אלקלעי, פסיכולוגית חינוכית מדריכה, מרצה בכירה בחוג לתואר שני בפסיכולוגיה חינוכית במכללת עמק יזרעאל, קליניקה פרטית.","בחינת המומחיות, היא סופו של תהליך ארוך להתמקצעות והתפתחות, להכרה פורמאלית כמומחה ולחוויה הפנימית של זהות מקצועית בשלה. ההכנה לבחינה בסדנה, כוללת עיבוד תהליכי עבודה, והתבוננות תאורטית מעשית ורפלקטיבית על המקרים שכל אחד מהמשתתפים יביא (כל משתתף יביא מקרה אחד) בתחומים השונים של הבחינה (טיפול, דיאגנוסטיקה, עבודה מערכתית, חירום, אתיקה). בסדנה נעבד גם חששות, לבטים ושאלות לגבי חוזקות וחולשות, חסכים ומוקדים לשיפור, המתעוררים לקראת הבחינה. כמו כן, בסדנה יושם דגש על הבנת סיטואציית הבחינה, על מנת להביא לידי ביטוי את היכולות הקיימות ברגע האמת. הסדנה מיועדת לפסיכולוגים העתידים לגשת לבחינה בזמן הקרוב, המעוניינים להעמיק בהכנה של אחד המקרים לבחינה ולהתנסות בפרזנטציה של המקרה, ולקבל משוב על מיקומם האישי במסלול ההתמחות . על כל משתתף להביא מקרה אחד להצגה מבין תחומי הבחינה: טיפול ארוך טווח (טיפול פרטני/ משפחתי/דיאדי, הדרכת הורים), אבחון פרטני רב תחומי, אבחון והתערבות מערכת, או תפקוד בחירום ואתיקה.",מתמחים.ות משנה שלישית ואילך,"עיוני – טיפול, אבחון ועבודה מערכתית"
40,הפסיכולוגים החדשים- אנושיים ונוכחים- סדנה דינמית עלינו ובשבילנו במבט התייחסותי,"דנה בכר, פסיכולוגית קלינית מומחית.","הקשר הרגשי בין המטפל למטופל הוא גורם מרפא, חי וחשוב בחדר הטיפול. היכולת שלנו להיות אנושיים, חמים וחומלים כלפי האחר עוברת דרך היכולת שלנו להיות כאלה קודם כל לעצמנו. להצליח להכיר בעצמנו ובאחר כסובייקטים. בני אדם עם לב פתוח. עם כאב, עם פחד, עם תקווה ועם כמיהה לקרבה וקשר מיטיב. בסדנה זו נרצה לייצר מרחב משותף, שיירקם ביחד עם המנחה והמשתתפים, עם ""וייבים"" דינמיים מחד אך שמורים מאידך, דרך העצמי המטפל. המרחב שיתהווה יאפשר יצירת חוויה בה נוכל לשים במרכז אותנו המטפלים, האנשים, ואת מה שעובר עלינו ובתוכנו בתוך הקשר הטיפולי ומחוצה לו. ננסה יחד לייצר מרחב להרגיש, לחשוב ולהיות עם כל סך חלקי עצמנו. נפנה מבט אמיץ וחומל אל ההתערבויות וההתערבבויות שלנו מנקודת מבט אנושית. ננסה לחפש ואולי למצוא את הדרך המתאימה לנו להתחבר רגשית לעצמנו ולחלק העצמי המטפל שלנו בתוך קבוצת מטפלים.","מתמחים.ות משנה שלישית ואילך, מומחים.ות, בהסמכה להדרכה, מדריכים.ות, מנהלים.ות, בעלי.ות תפקידי מטה ובכירים.ות",דינמי (דגש על תהליך דינמי אישי וקבוצתי)
41,אבחון – מחוץ לקופסא,"יעל שפירא, פסיכולוגית חינוכית מומחית מדריכה, שפ""ח תל אביב יפו, קליניקה פרטית. מיכל בן ריי, פסיכולוגית חינוכית מומחית מדריכה, שפ""ח נתניה, קליניקה פרטית.","תהליכי אבחון והערכה הם בליבת תהליך הכשרתו ועבודתו של הפסיכולוג החינוכי, אך 'יחסי הציבור' שלהם טעונים שיפור. מטרת הסדנה היא העשרת החשיבה האבחונית תוך רכישת מבט מקיף ואף חוויתי על התהליך הדיאגנוסטי. במהלך הסדנה, יינתן מקום לשימוש בשאלונים ככלי לסינון ראשוני ולתהליך האינטייק כבסיס להערכה. נעמיק בתהליכי האבחון ובחשיבה האבחונית ואף נתעמק בהיבטים רגשיים, תוך התייחסות לעולה באבחונים נוכח מצב החירום המתמשך. כמו כן, נשכלל את יכולת האינטגרציה והכתיבה ונשאף לחבר את התהליך הדיאגנוסטי ואת ממצאיו לתפקוד התלמיד במציאות היום -יומית, זאת לצד דיון במתן אבחנה ואבחנה מבדלת. בנוסף, נרחיב את יריעת ההמלצות להתערבות. נדבר על הרצפים השונים: משאלת האבחון לתהליך הסיכום, מהקוגניטיבי לרגשי, מהתאמות בדרכי הוראה להתאמות במבחנים ועוד . בעיקר, נשחק עם חומרי האבחון, נתבונן מעבר למספרים ונרכיב ביחד את הפאזל שהוא הילד השלם. הסדנה מיועדת למתמחים ותיקים בוגרי קורס ל""ל א+ב, ולמומחים צעירים אשר רוצים להעמיק בתהליכי הערכה. לקראת הסדנה המשתתפים מוזמנים לשלוח למנחות מקרה אבחוני – דוח או טיוטה, כבסיס לתהליכי למידה במסגרת הקבוצה.","מתמחים.ות משנה שלישית ואילך, מומחים.ות",חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
42,"חדש ! גן נעול. לא שביל אליו, לא דרך ? התבוננות על תהליך ההערכה הראשונית לקראת טיפול","חן ברם, פסיכולוגית חינוכית מומחית מדריכה. הילה חיון, פסיכולוגית חינוכית מומחית מדריכה, רכזת ארצית ""מלקויות ללמידה"".","כאשר הורים פונים עם ילדם לטיפול בעקבות בעיה שמדאיגה אותם, כיצד נדע מה עומד מאחורי הבעיה, ומה היא מייצגת? האם מדובר בבעיה חולפת, בתגובה למציאות חיצונית כדוגמת המציאות המשברית המתמשכת שלאחר השבעה באוקטובר? או ליחסים בתוך המשפחה? או שמא מדובר בקושי פנימי מבני מורכב של הילד? בסדנה, נעסוק בתהליך הדיאגנוסטי הראשוני לקראת הטיפול, ובהבנת הרבדים השונים שעשויים להסתתר מאחורי הסימפטום שהילד/ה מציג/ה. נבנה את הפורמולציה הטיפולית תוך הסתמכות על גישות דינמיות מגוונות: ויניקוט, קוהוט, קליין ואנה פרויד, וכן מתוך גישות מבוססות מחקר כמו CBT והגל השלישי. נלמד את המבנה של תהליך ההערכה הראשוני הנדרש לתכנון והתאמת הטיפול, ונשכלל את היכולת של הפקת מידע דיאגנוסטי משמעותי מתוך כלי ההערכה פורמליים ובלתי פורמליים כגון: אינטייק (הורים, ילד, מערכת), תצפית במשחק חופשי, משחק בארגז החול, squiggle לפי ויניקוט והערכה דיאדית. נתמקד בהבנת תהליכי העברה והעברה נגדית והזדהות השלכתית ומשמעותם. הבנת התהליכים העומדים בבסיס נפשו של הילד תתרום גם לתחום הרגשי המתואר באבחון הפסיכולוגי, ותעשיר את הידע והיכולת של המשתתפים בתיאור רחב יריעה של עולמו הפנימי של הילד, לרבות כוחות אגו, אפיוני חרדה ודפוסים הגנתיים. הסדנה תעמיק בניתוח של מפגשי ההערכה הראשוניים אותם יציגו המנחות והמשתתפים עצמם, תתרום ליכולת של המשתתפים לעסוק בהערכה הראשונית כמתבקש בטיפול, בהלימה לדרישות ההתמחות, ותעשיר את יכולתם הטיפולית.",מתמחים.ות משנה שלישית ואילך,עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
43,"""המערכת החינוכית על ספת הפסיכולוג"" הבנה מערכתית ודינמית לקראת כתיבת המקרה המערכתי למבחן המומחיות","סיגל גור-לביא, פסיכולוגית ארגונית ופסיכולוגית חינוכית מומחית. בעלת ניסיון של 10 שנים בייעוץ ארגוני, בליווי מנהלים ובפיתוח ארגוני. עובדת בשפ""ח לוד ובעלת קליניקה פרטית .","הפסיכולוגיה החינוכית מזמנת עבודה מערכתית ייחודית, בה הפסיכולוג נדרש להבנה ולאבחון ארגוני, ולתהליכי התערבות משמעותיים, הכוללים החל מטיפול, התערבות קבוצתית, קונסולטציה ועד התערבות מערכתית כוללת. המורכבות שבעבודה המערכתית דורשת מהפסיכולוג החינוכי לנוע בין עולמות של פנים וחוץ. בין היכולת להיות חלק מתוך המערכת בה הוא עובד, לייצור תהליכים של הצטרפות, קשר ואמון, אך בד בבד נדרש ליכולת להתבונן על המערכת מבחוץ, לכן על הפסיכולוג החינוכי לגלות הבנה משמעותית בהבנה ארגונית ודינמית של המערכת וזאת לצורך קונסולטציה והובלת תהליכי שינוי והתערבות. מטרת הסדנה הינה הרחבת הידע התיאורטי וההבנה של התהליכים הדינמיים והארגוניים, תוך התבוננות ורפלקציה על מאפייני המערכת בה עובד הפסיכולוג החינוכי. בסדנה, נשלב למידה עיונית לצד התנסות חווייתית ולמידת עמיתים. נכיר כלי אבחון, מודלים לאבחון ארגוני ולהתערבות מערכתית . נדון בדילמות ארגוניות ונתמקד בניתוח, ארגון והמשגה של המקרה המערכתי, דרך פרקטיקה ייחודית ויישומית, עם דגש מיוחד על התארגנות לקראת כתיבת המקרה המערכתי לבחינת ההתמחות, כולל בחירת התיאוריות והתאמתן למקרה המסוים.",מתמחים.ות משנה שלישית ואילך,עיוני – עבודה מערכתית (סדנת למידה בנושאים הקשורים לעבודה מערכתית- חינוכית)
44,"חדש ! המטפל במרכז- על טראומה, טראומה משנית, חוסן, צמיחה פוסט טראומטית וחמלה אצל מטפלי ם","שלומית גילוני ברק, פסיכולוגית חינוכית מדריכה, מטפלת זוגית ומשפחתית ומדריכה מוסמכת. מרצה בבית הספר לעבודה סוציאלית באוניברסיטת תל אביב, יוצרת ומובילה בשותפות את ""קפסולה- תוכנית לטיפול זוגי ומשפחתי מתוך עמדה אינטגרטיבית"" במכון מפרשים, חברת סגל ב""עוגן תוכנית לפסיכותרפיה מבוססת אינטגרציה"" במכון מפרשים. דוקטורנטית בב""ס לעבודה סוציאלית באוניברסיטה העברית. מגי סביץ', פסיכולוגית חינוכית מדריכה, פסיכותרפיסטית. רכזת ומדריכה תחום הטיפולי במרכז ""אביבית"", מתי""א ת""א. מדריכה ב""עוגן תוכנית לפסיכותרפיה מבוססת אינטגרציה"" במכון מפרשים. מרצה ומדריכה צוותי חינוך ואנשי טיפול בתחום טראומה וטראומות מיניות.","מאז ה7.10 הטראומה שורה כמעט בכול... אנחנו שם, עם הקירות הנופלים, במעגלי קרבה שונים, מתייצבים, מתגייסים ומושפעים. גם כשמעגלי הקרבה רחוקים אנחנו חשופים לטראומה המשנית-לתופעה המתרחשת כאשר מטפלים או אנשי מקצוע, נחשפים באופן עקיף, לחוויות טראומטיות של אחרים. טראומה משנית, עלולה להשפיע על תפקוד מקצועי ואיכות חיים. היא נפוצה במיוחד בקרב מטפלים העובדים עם נפגעי טראומה, אנשי כוחות הצלה, ועובדים סוציאליים. זיהוי מוקדם והתמודדות עם טראומה משנית, חיוניים לשמירה על בריאותם הנפשית של אנשי מקצוע ולהבטחת טיפול איכותי למטופלים, מונע שחיקה, משפר את איכות הטיפול, מעודד צמיחה אישית ומקצועית ויוצר קהילה מקצועית תומכת. בסדנה חוויתית זו נכיר קצת את הדינמיקה והמאפיינים של טראומה ושל טראומה משנית. נעסוק בהתמודדות עם הטראומה המשנית, העקיפה, בפיתוח חוסן נפשי, טיפוח חמלה עצמית, וקידום צמיחה פוסט-טראומטית . תינתן המשגה תאורטית תוך נגיעה ברעיונות של טראומה, בתאוריה הפוליווגאלית ובגישה הנרטיבית. המשתתפים יצאו עם הבנה של טראומה משנית, כלים מעשיים להתמודדות עם אתגרי העבודה ואסטרטגיות לקידום צמיחה אישית ומקצועית. הסדנה תספק מסגרת תומכת ובטוחה לחקירה עצמית, שיתוף חוויות, ולמידה הדדית. הסדנה תהיה תאורטית וחווייתית. תשלב בין למידה תאורטית, סרטונים, תרגול, שיתוף קרבה ויחד.","מתמחים.ות משנה שלישית ואילך, מומחים.ות, בהסמכה להדרכה, מדריכים.ות, מנהלים.ות",חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
